Time,Temp
0,-0.5
30,0
60,0
90,0
120,0.5
150,0.8
180,1
210,1
240,1
270,1
300,1
330,1
360,1
390,1
420,1
450,1
480,1
510,1
540,1.5
570,1.5
600,1.5
630,2
660,2
690,2
720,2
750,3
780,3
810,3
840,4
870,4
900,5
930,6.5
960,8
990,9.5
1020,10
1050,11
1080,12
1110,13
1140,14
1170,14.5
1200,15
1230,16
1260,17
1290,18.5
1320,20
1350,21.5
1380,23
1410,24.5
1440,25
1470,26.5
1500,27.5
1530,28
1560,29
1590,31
1620,32.5
1650,33
1680,34
1710,35.5
1740,36.5
1770,38
1800,39.5
1830,40
1860,41.5
1890,42.5
1920,44
1950,45
1980,46
2010,47.5
2040,48
2070,49
2100,50
2130,51
2160,52
2190,53.5
2220,54
2250,55
2280,56
2310,57.5
2340,58
2370,59
2400,60
2430,61.5
2460,63
2490,64
2520,65.5
2550,66
2580,67
2610,68
2640,69
2670,70.5
2700,71
2730,72.5
2760,74
2790,75
2820,76.5
2850,77.5
2880,79
2910,80
2940,81
2970,82.5
3000,83.5
3030,85
3060,86
3090,87
3120,88.5
3150,90
3180,91
3210,92
3240,93
3270,94
3300,95
3330,96.5
3360,97
3390,98
3420,99
3450,99.5
3480,100
3510,100
3540,100
3570,100
3600,100
